n = 15
number of lcs = 96
x = 6342; y = 21845
x = 6348; y = 21845
x = 6350; y = 21845
x = 6374; y = 21845
x = 6540; y = 21845
x = 6542; y = 21845
x = 6556; y = 21845
x = 6598; y = 21845
x = 6604; y = 21845
x = 6606; y = 21845
x = 7270; y = 21845
x = 7366; y = 21845
x = 7372; y = 21845
x = 7374; y = 21845
x = 7398; y = 21845
x = 10922; y = 17969
x = 10922; y = 17971
x = 10922; y = 17977
x = 10922; y = 18019
x = 10922; y = 18033
x = 10922; y = 18035
x = 10922; y = 18201
x = 10922; y = 18225
x = 10922; y = 18227
x = 10922; y = 18233
x = 10922; y = 19555
x = 10922; y = 19569
x = 10922; y = 19571
x = 10922; y = 19683
x = 10922; y = 20017
x = 10922; y = 20019
x = 10922; y = 20025
x = 10922; y = 20067
x = 10922; y = 20081
x = 10922; y = 20083
x = 10922; y = 25369
x = 10922; y = 25393
x = 10922; y = 25395
x = 10922; y = 25401
x = 10922; y = 25497
x = 10922; y = 26161
x = 10922; y = 26163
x = 10922; y = 26169
x = 10922; y = 26211
x = 10922; y = 26225
x = 10922; y = 26227
x = 10922; y = 26393
x = 10922; y = 26417
x = 10922; y = 26419
x = 10922; y = 26425
x = 12684; y = 21845
x = 12686; y = 21845
x = 12700; y = 21845
x = 12742; y = 21845
x = 12748; y = 21845
x = 12750; y = 21845
x = 13084; y = 21845
x = 13196; y = 21845
x = 13198; y = 21845
x = 13212; y = 21845
x = 14534; y = 21845
x = 14540; y = 21845
x = 14542; y = 21845
x = 14566; y = 21845
x = 14732; y = 21845
x = 14734; y = 21845
x = 14748; y = 21845
x = 14790; y = 21845
x = 14796; y = 21845
x = 14798; y = 21845
